# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208a	Complete	Sc0000022	1689970	1713883	+	4108.0	1961
9639at33208a	Complete	Sc0000077	250768	295858	+	2348.6	1793
13816at33208a	Complete	xfSc0000157	19919	49785	-	1521.3	1346
14776at33208a	Complete	Sc0000145	212097	270875	+	2322.4	1750
16244at33208a	Complete	Sc0000217	282160	326168	-	2404.7	1686
40200at33208a	Complete	Sc0000289	59529	76310	+	728.4	574
45934at33208a	Complete	Sc0000553	14218	31346	-	893.9	935
49474at33208a	Complete	Sc0000042	935337	962802	+	1496.9	1139
50756at33208a	Complete	Sc0000515	66086	178203	-	825.7	748
56573at33208a	Complete	Sc0000169	299897	322426	+	1226.2	920
57158at33208a	Complete	Sc0000005	372263	398662	+	1858.4	1056
63697at33208a	Complete	Sc0000299	96014	119061	-	1925.2	1003
64435at33208a	Complete	Sc0000069	390320	421020	-	336.5	461
65302at33208a	Complete	Sc0000673	111403	139278	-	1323.7	997
66018at33208a	Complete	Sc0000525	52078	95267	-	1440.3	866
75406at33208a	Complete	Sc0000174	323962	346082	-	505.2	486
76852at33208a	Complete	Sc0000005	1065028	1084923	-	684.9	851
84980at33208a	Complete	Sc0000099	752617	773857	-	729.9	515
88053at33208a	Complete	Sc0000283	496741	519519	+	491.1	585
92367at33208a	Complete	Sc0000220	203169	224979	-	382.8	509
99614at33208a	Complete	Sc0000046	560399	583327	-	1328.9	898
99987at33208a	Complete	Sc0000088	882572	908525	+	717.9	670
102804at33208a	Complete	Sc0000005	1200360	1221363	-	1174.7	818
103854at33208a	Complete	Sc0000063	67559	99952	+	540.9	576
107151at33208a	Complete	Sc0000045	1427829	1459159	-	1178.8	781
107574at33208a	Complete	Sc0000052	160067	193979	-	559.3	688
108764at33208a	Complete	Sc0000146	300948	315614	-	391.0	448
109109at33208a	Complete	Sc0000200	562621	587962	+	814.0	563
111730at33208a	Complete	Sc0000628	177597	187309	+	539.7	359
111746at33208a	Missing
114954at33208a	Missing
115878at33208a	Complete	Sc0000038	103712	117128	-	460.9	382
118209at33208a	Complete	Sc0000405	11951	28839	+	1169.3	700
119252at33208a	Complete	Sc0000445	30636	42729	-	679.9	533
119591at33208a	Complete	Sc0000488	220726	260666	-	1053.2	937
121127at33208a	Complete	Sc0000219	489195	509661	-	533.2	609
123923at33208a	Complete	Sc0000078	369145	386524	-	405.2	468
124302at33208a	Complete	Sc0000062	458641	496183	-	893.5	836
127766at33208a	Complete	Sc0000237	432711	464640	+	810.7	620
129179at33208a	Complete	Sc0000355	198848	214930	+	888.1	606
130245at33208a	Complete	Sc0000451	47791	134466	+	540.2	693
130256at33208a	Complete	Sc0000068	910873	936642	-	627.1	588
131349at33208a	Complete	xpSc0007058	246118	291876	-	1309.5	875
131848at33208a	Complete	Sc0000199	94324	112596	+	637.8	558
132087at33208a	Complete	xfSc0000104	176770	201587	-	790.6	757
134492at33208a	Complete	Sc0000150	371497	401022	-	1153.0	864
135294at33208a	Complete	Sc0000504	169781	244825	+	425.2	344
137383at33208a	Complete	Sc0000345	353783	372567	+	892.0	650
139188at33208a	Complete	Sc0000112	711381	744715	+	693.8	559
143619at33208a	Complete	Sc0000192	329973	338277	+	346.6	304
143997at33208a	Complete	Sc0000043	87700	103837	-	539.3	380
146671at33208a	Complete	Sc0000184	555134	579043	-	977.9	703
147873at33208a	Fragmented	Sc0000077	73323	82707	-	427.5	325
148067at33208a	Complete	Sc0000024	1703956	1747344	-	793.8	781
148325at33208a	Complete	Sc0000549	170635	222017	-	323.5	297
152327at33208a	Complete	Sc0000026	1431432	1441167	+	502.1	370
152977at33208a	Complete	Sc0000071	682682	696573	-	548.9	499
153034at33208a	Complete	Sc0000189	621463	663972	+	770.8	502
157109at33208a	Complete	xfSc0000023	312370	316229	+	275.1	227
157138at33208a	Complete	Sc0000030	1227340	1238263	+	357.1	498
158845at33208a	Complete	xfSc0000017	301364	312268	-	377.6	478
158962at33208a	Complete	Sc0000164	321860	326075	+	844.5	564
162821at33208a	Complete	Sc0000259	492446	498920	-	644.4	419
164767at33208a	Complete	xfSc0000154	85468	97983	-	697.2	659
166097at33208a	Complete	Sc0000139	899205	912435	-	802.6	491
168850at33208a	Complete	xpSc0007064	234070	255252	-	689.7	529
168924at33208a	Complete	Sc0000225	275151	283030	+	631.6	565
169864at33208a	Complete	Sc0000159	393017	415701	-	526.6	551
172677at33208a	Complete	Sc0000416	315880	332558	-	131.9	214
176247at33208a	Complete	xfSc0000150	43152	81296	-	356.3	324
177718at33208a	Complete	Sc0000015	636129	645984	+	472.3	378
177858at33208a	Complete	Sc0000177	580693	601495	-	677.9	581
