# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208a	Complete	OKRP01000340.1	69868	95094	+	3974.3	1864
9639at33208a	Complete	OKRP01002607.1	5711	40780	-	958.2	726
13816at33208a	Complete	OKRP01000055.1	80557	110407	+	1226.3	1100
14776at33208a	Missing
16244at33208a	Complete	OKRP01000058.1	243482	296097	+	2312.8	1502
40200at33208a	Missing
45934at33208a	Complete	OKRP01000222.1	216258	233512	+	891.7	935
49474at33208a	Complete	OKRP01001129.1	37367	64751	-	1297.0	1022
50756at33208a	Missing
56573at33208a	Complete	OKRP01001876.1	20198	44787	-	1101.1	881
57158at33208a	Complete	OKRP01000091.1	238948	264978	+	1609.2	876
63697at33208a	Complete	OKRP01000163.1	320683	344904	+	1807.8	1001
64435at33208a	Complete	OKRP01000389.1	176522	204469	+	270.6	338
65302at33208a	Complete	OKRP01000616.1	23066	56903	-	1034.6	678
66018at33208a	Complete	OKRP01002659.1	1135	34019	+	738.6	494
75406at33208a	Fragmented	OKRP01000043.1	458604	466247	+	327.5	297
76852at33208a	Fragmented	OKRP01000071.1	144122	153025	-	273.2	205
84980at33208a	Complete	OKRP01000008.1	483313	503721	-	678.0	544
88053at33208a	Complete	OKRP01000103.1	319219	344592	+	353.1	488
92367at33208a	Complete	OKRP01000528.1	777	18264	+	345.5	454
99614at33208a	Complete	OKRP01001418.1	55311	74518	+	753.4	491
99987at33208a	Complete	OKRP01001462.1	39175	66403	-	648.4	623
102804at33208a	Complete	OKRP01000071.1	274453	294983	-	878.1	617
103854at33208a	Complete	OKRP01001583.1	63866	88465	+	448.9	486
107151at33208a	Duplicated	OKRP01003357.1	1816	23711	+	802.0	554
107151at33208a	Duplicated	OKRP01003495.1	1756	20033	+	746.5	515
107574at33208a	Complete	OKRP01000438.1	4	11446	-	66.4	264
108764at33208a	Complete	OKRP01000047.1	222883	243961	+	365.7	394
109109at33208a	Complete	OKRP01001757.1	43343	67675	-	602.7	448
111730at33208a	Fragmented	OKRP01002349.1	37791	41643	+	304.6	182
111746at33208a	Complete	OKRP01000055.1	123238	139453	-	412.3	412
114954at33208a	Missing
115878at33208a	Complete	OKRP01001978.1	0	14417	-	484.4	429
118209at33208a	Complete	OKRP01000381.1	136825	151826	+	1311.5	742
119252at33208a	Complete	OKRP01000080.1	64622	76475	-	828.2	567
119591at33208a	Complete	OKRP01000331.1	102502	132776	+	1181.8	947
121127at33208a	Complete	OKRP01000025.1	494350	512806	-	440.0	500
123923at33208a	Complete	OKRP01000855.1	62895	80467	-	339.0	468
124302at33208a	Complete	OKRP01000095.1	200916	233760	+	883.3	791
127766at33208a	Complete	OKRP01003399.1	4971	23109	+	402.1	364
129179at33208a	Complete	OKRP01000980.1	73262	87456	-	874.3	607
130245at33208a	Complete	OKRP01000128.1	31281	127864	+	454.3	450
130256at33208a	Fragmented	OKRP01012316.1	924	2133	+	169.8	107
131349at33208a	Complete	OKRP01000120.1	14228	63077	+	1170.6	787
131848at33208a	Complete	OKRP01001145.1	23367	40945	-	613.3	524
132087at33208a	Complete	OKRP01000824.1	122912	142809	-	527.7	530
134492at33208a	Complete	OKRP01001057.1	87929	116456	+	950.7	734
135294at33208a	Fragmented	OKRP01001843.1	35168	39945	-	144.1	231
137383at33208a	Complete	OKRP01000548.1	116366	135372	-	797.9	615
139188at33208a	Complete	OKRP01000204.1	6073	32849	+	663.5	528
143619at33208a	Complete	OKRP01004194.1	731	11360	+	360.8	292
143997at33208a	Missing
146671at33208a	Fragmented	OKRP01002847.1	13534	30227	-	366.4	265
147873at33208a	Complete	OKRP01001481.1	322	7213	+	493.1	351
148067at33208a	Complete	OKRP01000293.1	185738	208695	-	733.6	736
148325at33208a	Missing
152327at33208a	Complete	OKRP01000018.1	399896	405716	-	421.4	300
152977at33208a	Complete	OKRP01000206.1	51408	65325	+	596.8	499
153034at33208a	Fragmented	OKRP01000498.1	101199	119054	-	241.3	162
157109at33208a	Complete	OKRP01000012.1	134095	137495	-	278.3	227
157138at33208a	Complete	OKRP01001775.1	54913	59095	+	347.7	511
158845at33208a	Complete	OKRP01000139.1	334177	341640	+	379.1	424
158962at33208a	Fragmented	OKRP01000618.1	15588	18667	-	245.5	237
162821at33208a	Missing
164767at33208a	Complete	OKRP01000934.1	103333	116019	-	428.8	423
166097at33208a	Complete	OKRP01000235.1	247229	259656	-	773.8	491
168850at33208a	Complete	OKRP01000603.1	94332	116275	-	402.5	311
168924at33208a	Complete	OKRP01000143.1	132058	133733	+	301.7	209
169864at33208a	Fragmented	OKRP01003988.1	726	16568	-	275.7	327
172677at33208a	Complete	OKRP01000849.1	48816	62441	+	138.4	175
176247at33208a	Fragmented	OKRP01003339.1	362	20118	-	137.6	139
177718at33208a	Fragmented	OKRP01000144.1	5815	7791	-	213.3	118
177858at33208a	Missing
178537at33208a	Complete	OKRP01000622.1	9752	22428	-	927.2	466
179485at33208a	Complete	OKRP01001485.1	52499	64309	-	341.0	307
180808at33208a	Complete	OKRP01000368.1	15958	23315	-	649.6	388
182834at33208a	Complete	OKRP01000021.1	402773	412944	+	424.7	391
184508at33208a	Complete	OKRP01000395.1	164762	185327	+	487.0	458
184717at33208a	Complete	OKRP01002011.1	38962	64769	-	593.4	355
186208at33208a	Complete	OKRP01000713.1	98227	133510	+	1038.8	658
186707at33208a	Complete	OKRP01001232.1	37519	58273	+	437.0	524
187280at33208a	Complete	OKRP01000054.1	339958	344869	+	654.2	459
189414at33208a	Complete	OKRP01000217.1	226316	239134	-	451.3	441
190726at33208a	Fragmented	OKRP01008862.1	1262	1905	-	166.8	94
191938at33208a	Complete	OKRP01000188.1	116710	135794	+	362.1	369
192250at33208a	Duplicated	OKRP01000680.1	23788	36509	+	347.0	263
192250at33208a	Duplicated	OKRP01003921.1	5964	15583	-	311.2	267
194754at33208a	Complete	OKRP01000214.1	229651	272985	-	741.5	577
195986at33208a	Complete	OKRP01000190.1	186245	206008	+	862.0	615
196950at33208a	Complete	OKRP01000640.1	5378	32621	-	321.5	484
197549at33208a	Fragmented	OKRP01003286.1	6079	17292	-	70.0	128
197652at33208a	Complete	OKRP01000030.1	317505	326283	-	735.8	435
200997at33208a	Complete	OKRP01000124.1	9978	51726	-	547.1	413
201397at33208a	Complete	OKRP01000570.1	159467	174610	-	686.3	477
202545at33208a	Complete	OKRP01000112.1	40776	49164	-	355.3	316
203128at33208a	Complete	OKRP01000676.1	105967	115829	+	807.1	430
203698at33208a	Complete	OKRP01000217.1	83391	87400	+	1085.4	739
205220at33208a	Complete	OKRP01000601.1	31779	53472	-	669.6	557
206786at33208a	Complete	OKRP01002263.1	17880	29897	+	527.1	382
206858at33208a	Complete	OKRP01000193.1	253412	268227	-	499.8	466
207599at33208a	Complete	OKRP01000512.1	23784	41093	-	471.2	373
208219at33208a	Fragmented	OKRP01000365.1	308131	309266	-	76.2	83
210614at33208a	Complete	OKRP01001150.1	20852	42771	+	393.2	447
212972at33208a	Complete	OKRP01001228.1	74281	83062	-	608.9	398
214788at33208a	Complete	OKRP01000833.1	113332	129286	-	320.7	300
215654at33208a	Complete	OKRP01000109.1	64961	81846	-	435.3	372
216257at33208a	Complete	OKRP01000680.1	133983	148128	-	274.0	312
216563at33208a	Complete	OKRP01000258.1	80968	102241	-	235.9	287
218441at33208a	Fragmented	OKRP01001890.1	45684	52583	+	92.7	74
219795at33208a	Complete	OKRP01000906.1	23974	119621	+	432.6	462
219856at33208a	Complete	OKRP01001101.1	7609	22041	+	518.7	361
222489at33208a	Fragmented	OKRP01000075.1	234665	242068	+	444.9	268
223234at33208a	Complete	OKRP01000249.1	153804	158409	+	349.5	347
224280at33208a	Complete	OKRP01000386.1	75079	85077	-	821.2	439
226335at33208a	Fragmented	OKRP01000799.1	148331	156069	+	266.1	240
226941at33208a	Complete	OKRP01000856.1	40223	48052	-	605.2	397
227087at33208a	Fragmented	OKRP01000066.1	232615	263807	-	321.3	292
227453at33208a	Complete	OKRP01000021.1	540687	548566	-	523.9	423
227979at33208a	Fragmented	OKRP01000071.1	197483	200735	-	249.0	155
231157at33208a	Fragmented	OKRP01000985.1	39099	40963	+	191.0	138
231700at33208a	Complete	OKRP01000359.1	157935	166258	-	442.5	556
234290at33208a	Duplicated	OKRP01004867.1	7013	8485	+	412.9	569
234290at33208a	Duplicated	OKRP01002198.1	75676	76731	+	369.1	579
235149at33208a	Complete	OKRP01002099.1	1411	14693	-	278.9	371
235430at33208a	Complete	OKRP01000128.1	191243	309312	+	263.7	282
235458at33208a	Complete	OKRP01000025.1	135586	145169	+	424.5	367
239016at33208a	Complete	OKRP01000016.1	318182	331832	+	388.3	327
239149at33208a	Missing
239597at33208a	Complete	OKRP01000703.1	79175	101933	-	368.2	399
240437at33208a	Complete	OKRP01000956.1	30656	53658	-	424.6	216
244863at33208a	Complete	OKRP01002256.1	22373	38576	+	528.2	484
245482at33208a	Fragmented	OKRP01000016.1	45643	53218	-	385.5	269
245567at33208a	Missing
246241at33208a	Fragmented	OKRP01001029.1	71313	80171	+	268.9	220
247183at33208a	Duplicated	OKRP01000760.1	4016	16723	-	776.7	544
247183at33208a	Duplicated	OKRP01004417.1	1542	12041	-	701.0	499
247905at33208a	Fragmented	OKRP01001522.1	1532	4574	-	88.5	92
249486at33208a	Complete	OKRP01001038.1	87176	88372	+	486.7	343
251076at33208a	Complete	OKRP01000616.1	93313	102711	-	467.2	264
251577at33208a	Fragmented	OKRP01002383.1	13855	14082	+	46.6	57
255117at33208a	Complete	OKRP01002871.1	8339	32968	+	694.0	499
255242at33208a	Complete	OKRP01000022.1	199868	223186	+	264.7	195
255924at33208a	Missing
257141at33208a	Complete	OKRP01000928.1	33337	46656	-	371.9	302
257339at33208a	Complete	OKRP01000323.1	160340	179004	-	200.3	208
259581at33208a	Complete	OKRP01003748.1	5821	15660	+	260.2	328
260752at33208a	Complete	OKRP01000043.1	208989	223267	+	450.0	437
261284at33208a	Missing
261614at33208a	Complete	OKRP01000064.1	137090	147872	-	627.0	503
262757at33208a	Fragmented	OKRP01011411.1	387	1511	+	80.2	57
266460at33208a	Complete	OKRP01000901.1	96036	103445	+	600.5	481
266469at33208a	Complete	OKRP01000659.1	102181	105078	+	158.6	189
266808at33208a	Fragmented	OKRP01000156.1	15832	41188	+	241.3	218
267439at33208a	Duplicated	OKRP01003460.1	4985	29050	+	455.6	336
267439at33208a	Duplicated	OKRP01002475.1	161	23217	-	406.9	354
268134at33208a	Complete	OKRP01000169.1	268614	277234	-	177.1	182
268397at33208a	Complete	OKRP01000002.1	376932	400001	+	811.6	589
270594at33208a	Complete	OKRP01001244.1	39869	65008	-	505.5	494
271297at33208a	Complete	OKRP01001232.1	18092	24277	+	324.5	231
271742at33208a	Complete	OKRP01001330.1	25093	33794	-	423.0	276
272605at33208a	Complete	OKRP01000004.1	510074	512848	-	552.0	391
273040at33208a	Missing
273367at33208a	Complete	OKRP01000778.1	64639	71673	-	106.4	239
273989at33208a	Complete	OKRP01000002.1	251189	269550	-	518.0	499
274044at33208a	Complete	OKRP01002013.1	7347	13473	-	409.1	376
274064at33208a	Complete	OKRP01000138.1	197700	211247	+	431.8	277
274769at33208a	Complete	OKRP01000403.1	118766	128231	-	449.7	316
274992at33208a	Fragmented	OKRP01006303.1	205	10598	-	292.8	171
277935at33208a	Complete	OKRP01000041.1	285879	322126	-	651.0	556
278227at33208a	Complete	OKRP01000340.1	99740	116732	-	357.9	386
279631at33208a	Complete	OKRP01000426.1	42338	52634	-	571.9	456
279992at33208a	Complete	OKRP01002331.1	21263	42848	+	352.7	300
280914at33208a	Complete	OKRP01001718.1	20363	45743	-	299.9	395
281304at33208a	Complete	OKRP01000005.1	450222	455133	-	308.0	330
281693at33208a	Complete	OKRP01000075.1	495	9269	+	701.7	487
283637at33208a	Missing
284059at33208a	Fragmented	OKRP01004975.1	11750	13863	-	153.2	84
285146at33208a	Complete	OKRP01001212.1	62404	67580	-	367.9	255
285902at33208a	Complete	OKRP01001995.1	1343	10663	-	205.0	256
285966at33208a	Complete	OKRP01000570.1	115934	120555	+	406.3	335
286553at33208a	Fragmented	OKRP01005380.1	2068	4026	-	88.6	100
289235at33208a	Complete	OKRP01000349.1	287973	291647	+	234.6	240
289928at33208a	Complete	OKRP01001210.1	59024	68472	-	394.4	335
291505at33208a	Complete	OKRP01001007.1	7662	77657	-	373.7	335
291875at33208a	Fragmented	OKRP01000551.1	165820	171730	-	243.1	282
295556at33208a	Fragmented	OKRP01000546.1	177443	195753	+	115.7	162
295775at33208a	Complete	OKRP01000600.1	23333	32282	-	205.6	173
300303at33208a	Complete	OKRP01000443.1	47254	64602	+	202.4	311
301572at33208a	Complete	OKRP01000180.1	302994	306656	+	569.4	388
302186at33208a	Complete	OKRP01002452.1	18719	21022	-	266.8	364
302279at33208a	Complete	OKRP01001221.1	37531	51712	+	425.7	272
302921at33208a	Complete	OKRP01000085.1	184026	188053	-	97.4	209
303117at33208a	Complete	OKRP01002472.1	33882	40514	-	370.0	329
304388at33208a	Complete	OKRP01000216.1	134092	155818	+	242.9	322
305260at33208a	Duplicated	OKRP01004096.1	430	19238	+	562.3	342
305260at33208a	Duplicated	OKRP01000099.1	320456	334886	+	561.6	343
306101at33208a	Complete	OKRP01001056.1	58571	63553	+	307.2	262
307109at33208a	Complete	OKRP01000326.1	82423	83682	+	480.2	346
308610at33208a	Complete	OKRP01000144.1	221778	231900	+	537.6	341
311438at33208a	Missing
311758at33208a	Complete	OKRP01000367.1	100641	128293	+	497.2	367
311761at33208a	Complete	OKRP01000016.1	156262	173030	-	358.2	383
312577at33208a	Complete	OKRP01000041.1	114327	126264	+	220.6	307
313091at33208a	Complete	OKRP01000004.1	880849	888780	+	321.6	279
315044at33208a	Fragmented	OKRP01009870.1	546	2338	+	119.1	118
315393at33208a	Complete	OKRP01007271.1	1037	3326	-	287.9	199
