# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208a	Complete	000018F	1307314	1332645	+	3260.6	1832
9639at33208a	Complete	000037F	166025	215845	-	2040.3	1720
13816at33208a	Duplicated	000237F	180087	209397	+	1467.4	1326
13816at33208a	Duplicated	001567F	41906	71773	+	1317.9	1294
14776at33208a	Complete	000996F	126485	181534	-	2207.5	1812
16244at33208a	Complete	000168F	238661	283784	-	2351.4	1688
40200at33208a	Complete	000129F	580240	592432	-	675.7	571
45934at33208a	Complete	000489F	297382	316403	+	902.8	937
49474at33208a	Complete	000258F	509425	535084	-	1441.1	1150
50756at33208a	Duplicated	001146F	24751	72486	-	980.3	993
50756at33208a	Duplicated	001150F	53787	103608	-	935.6	975
50756at33208a	Duplicated	001257F	74725	127333	+	933.8	920
56573at33208a	Complete	000108F	229839	253104	-	1092.9	920
57158at33208a	Complete	000464F	232852	264797	+	1478.0	1037
63697at33208a	Complete	000409F	344601	369777	+	1728.9	993
64435at33208a	Complete	000094F	37717	66727	+	276.6	471
65302at33208a	Complete	000012F	1222691	1249534	-	1284.4	975
66018at33208a	Complete	000599F	692	26118	+	1190.8	728
75406at33208a	Complete	000023F	461093	475326	+	541.1	496
76852at33208a	Complete	000333F	373149	396975	+	854.4	829
84980at33208a	Complete	000647F	280875	307405	+	723.7	544
88053at33208a	Complete	000447F	352081	377144	+	443.2	580
92367at33208a	Complete	000141F	449478	471975	+	355.5	429
99614at33208a	Complete	000017F	1415893	1436665	+	1190.5	917
99987at33208a	Complete	000195F	313385	341624	+	534.6	632
102804at33208a	Complete	000333F	235114	256017	+	1005.1	803
103854at33208a	Complete	000230F	402559	445343	+	599.9	598
107151at33208a	Duplicated	000400F	378276	404671	-	1171.9	781
107151at33208a	Duplicated	001093F	172877	196640	+	1088.6	757
107574at33208a	Complete	000201F	589142	623160	+	562.8	687
108764at33208a	Duplicated	001262F	126636	143170	+	405.8	477
108764at33208a	Duplicated	000381F	57222	73480	+	398.4	477
109109at33208a	Complete	000139F	457504	477923	-	869.6	585
111730at33208a	Complete	000496F	257590	310722	-	801.5	660
111746at33208a	Complete	001567F	84807	99849	-	413.9	333
114954at33208a	Missing
115878at33208a	Missing
118209at33208a	Complete	000573F	133558	148814	-	1311.3	743
119252at33208a	Complete	000593F	237016	248375	-	663.1	505
119591at33208a	Complete	000552F	134969	175254	-	1081.2	963
121127at33208a	Duplicated	000504F	271155	293935	-	551.3	611
121127at33208a	Duplicated	000007F	1897097	1915801	+	507.0	549
123923at33208a	Complete	000019F	4803	24293	+	277.1	401
124302at33208a	Complete	000505F	209353	245959	-	855.4	838
127766at33208a	Complete	000273F	554136	583249	+	607.6	598
129179at33208a	Complete	000144F	213754	229621	+	845.4	590
130245at33208a	Complete	000069F	391126	486366	-	530.7	450
130256at33208a	Complete	000287F	311318	338764	+	526.7	518
131349at33208a	Complete	000116F	283784	326474	+	1091.6	876
131848at33208a	Complete	000785F	68647	88650	-	668.2	524
132087at33208a	Complete	000126F	353809	385693	-	777.9	778
134492at33208a	Complete	000197F	88778	121746	-	1132.4	864
135294at33208a	Complete	000649F	42147	51223	-	388.1	300
137383at33208a	Duplicated	000437F	356558	381011	-	840.4	647
137383at33208a	Duplicated	000274F	457686	479422	+	751.6	646
139188at33208a	Complete	000138F	50191	78684	-	644.7	598
143619at33208a	Complete	000009F	1379012	1388752	+	381.1	314
143997at33208a	Complete	000099F	287186	300356	-	530.0	353
146671at33208a	Complete	000663F	250547	265263	-	527.0	430
147873at33208a	Complete	000037F	356003	364980	+	633.9	451
148067at33208a	Complete	000476F	231885	271735	+	728.1	758
148325at33208a	Complete	000689F	161283	197924	-	332.8	296
152327at33208a	Complete	000484F	243853	259769	+	447.1	371
152977at33208a	Complete	000122F	514280	529310	-	417.8	492
153034at33208a	Complete	000010F	1109262	1156508	+	735.3	502
157109at33208a	Complete	000002F	2061489	2066927	-	274.5	234
157138at33208a	Complete	000295F	365346	369804	+	354.1	499
158845at33208a	Duplicated	000373F	20252	30393	+	318.3	465
158845at33208a	Duplicated	000452F	154567	164679	-	287.6	432
158962at33208a	Complete	000072F	644815	651427	+	593.4	442
162821at33208a	Complete	000137F	507607	514850	+	460.8	317
164767at33208a	Complete	000676F	106113	118514	+	739.8	652
166097at33208a	Duplicated	001492F	46448	64995	+	797.8	491
166097at33208a	Duplicated	000826F	56902	83226	-	745.9	491
168850at33208a	Duplicated	000302F	495389	518025	+	736.9	531
168850at33208a	Duplicated	001669F	26412	47699	-	675.8	522
168924at33208a	Complete	000631F	178895	186781	-	635.3	654
169864at33208a	Duplicated	000667F	280150	301317	+	446.0	558
169864at33208a	Duplicated	000945F	184597	205048	-	409.8	524
172677at33208a	Complete	000806F	57462	81728	+	183.2	245
176247at33208a	Duplicated	000532F	44179	62887	-	354.4	316
176247at33208a	Duplicated	001161F	100879	125343	+	308.6	292
177718at33208a	Complete	000346F	337082	348169	+	454.7	378
177858at33208a	Complete	000030F	595446	619092	-	720.7	588
178537at33208a	Complete	000806F	189384	203926	-	907.9	466
179485at33208a	Complete	000101F	52503	74326	-	537.9	438
180808at33208a	Complete	000187F	6035	15354	+	741.8	466
182834at33208a	Complete	000742F	193778	210917	+	550.9	504
184508at33208a	Complete	000024F	856851	878453	-	479.3	474
184717at33208a	Complete	000187F	475097	511830	-	866.2	510
186208at33208a	Complete	000021F	577551	611907	-	1102.1	745
186707at33208a	Complete	000179F	298011	322849	-	436.3	524
187280at33208a	Complete	000094F	199543	204866	-	663.7	540
189414at33208a	Complete	000028F	782734	796562	-	398.2	451
190726at33208a	Complete	000051F	731001	765323	-	572.9	401
191938at33208a	Complete	000134F	198193	221973	+	377.5	446
192250at33208a	Duplicated	002069F	373	16927	-	395.3	300
192250at33208a	Duplicated	000062F	419934	432388	+	367.8	284
194754at33208a	Complete	000077F	593838	630434	+	693.8	635
195986at33208a	Complete	000085F	81688	108193	-	828.3	595
