# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Complete	Pastreoides03239-RA:36-5906	2935.0	1630
9639at33208a	Complete	Pastreoides05827-RA:15-4187	1528.6	1178
13816at33208a	Complete	Pastreoides25286-RA:0-8063	1595.4	1373
14776at33208a	Complete	Pastreoides47237-RA:0-7337	2109.8	1726
16244at33208a	Complete	Pastreoides17278-RA:0-6374	2094.9	1618
40200at33208a	Complete	Pastreoides14880-RA:15-3311	723.1	613
45934at33208a	Complete	Pastreoides34353-RA:111-2993	890.5	788
49474at33208a	Complete	Pastreoides23817-RA:9-4653	1261.1	946
50756at33208a	Duplicated	Pastreoides51426-RA:0-3404	734.8	659
50756at33208a	Duplicated	Pastreoides50137-RA:0-3188	724.4	656
56573at33208a	Complete	Pastreoides12962-RA:0-2948	1077.1	817
57158at33208a	Complete	Pastreoides34014-RA:108-3851	1328.9	807
63697at33208a	Complete	Pastreoides30493-RA:51-3710	1719.7	907
64435at33208a	Complete	Pastreoides11727-RA:36-2543	193.8	309
65302at33208a	Complete	Pastreoides02791-RA:0-3491	1374.0	998
66018at33208a	Complete	Pastreoides37586-RA:0-2624	1077.7	712
75406at33208a	Complete	Pastreoides04013-RA:0-1559	461.5	453
76852at33208a	Complete	Pastreoides27974-RA:85-4098	847.9	819
84980at33208a	Complete	Pastreoides38543-RA:330-3320	868.8	562
88053at33208a	Complete	Pastreoides31922-RA:114-2882	513.9	517
92367at33208a	Complete	Pastreoides15545-RA:0-2228	371.8	510
99614at33208a	Complete	Pastreoides03404-RA:0-3719	1192.8	902
99987at33208a	Complete	Pastreoides20510-RA:0-1445	375.2	396
102804at33208a	Complete	Pastreoides27964-RA:0-3104	1197.2	880
103854at33208a	Complete	Pastreoides22094-RA:12-1691	456.3	399
107151at33208a	Duplicated	Pastreoides30851-RA:0-2774	1154.0	781
107151at33208a	Duplicated	Pastreoides48152-RA:0-2618	1041.9	757
