# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Missing
9639at33208a	Duplicated	c261327_g1_i7:0-3596	1512.8	991
9639at33208a	Duplicated	c261327_g1_i4:0-2918	1361.8	845
13816at33208a	Complete	c267266_g2_i9:821-4612	1014.0	787
14776at33208a	Missing
16244at33208a	Fragmented	c254614_g1_i3:20-1492	305.1	252
40200at33208a	Fragmented	c255740_g2_i1:259-1080	222.5	235
45934at33208a	Fragmented	c245904_g3_i5:1-1227	473.0	332
49474at33208a	Fragmented	c247184_g2_i3:422-2317	476.3	369
50756at33208a	Fragmented	c252874_g1_i6:80-954	418.8	247
56573at33208a	Fragmented	c244981_g2_i14:0-1901	890.0	563
57158at33208a	Duplicated	c252657_g3_i2:246-1907	1134.9	537
57158at33208a	Duplicated	c252657_g3_i8:246-1907	1134.9	537
63697at33208a	Duplicated	c245139_g2_i7:14-2893	1714.9	896
63697at33208a	Duplicated	c245139_g2_i6:7-2538	1550.0	797
64435at33208a	Duplicated	c255486_g1_i3:99-2984	241.4	295
64435at33208a	Duplicated	c255486_g1_i5:99-2264	241.1	293
64435at33208a	Duplicated	c255486_g1_i4:99-1352	239.5	289
64435at33208a	Duplicated	c255486_g1_i2:15-1238	222.7	302
65302at33208a	Complete	c264906_g1_i1:2-1860	725.5	505
66018at33208a	Duplicated	c256641_g2_i4:215-2056	966.0	528
66018at33208a	Duplicated	c256641_g2_i2:18-1736	866.7	487
75406at33208a	Duplicated	c264911_g1_i3:322-2547	626.9	513
75406at33208a	Duplicated	c264911_g1_i7:424-2722	626.9	513
76852at33208a	Missing
84980at33208a	Fragmented	c253869_g3_i2:0-1040	412.3	262
88053at33208a	Duplicated	c260704_g3_i9:19-1860	356.3	359
88053at33208a	Duplicated	c260704_g3_i11:95-2007	356.0	370
88053at33208a	Duplicated	c260704_g3_i1:19-2018	355.4	367
92367at33208a	Missing
99614at33208a	Complete	c264962_g1_i16:25-2148	1095.9	643
99987at33208a	Duplicated	c263300_g1_i4:1-2880	862.1	661
99987at33208a	Duplicated	c263300_g1_i6:1-2559	862.1	661
99987at33208a	Duplicated	c263300_g1_i7:66-2603	861.0	659
99987at33208a	Duplicated	c263300_g1_i1:350-2635	825.1	619
102804at33208a	Duplicated	c262445_g1_i8:0-2468	1016.9	698
102804at33208a	Duplicated	c262445_g1_i7:0-2012	885.4	583
103854at33208a	Fragmented	c229396_g2_i1:18-1235	304.8	302
107151at33208a	Complete	c266745_g1_i8:469-3279	1351.1	781
107574at33208a	Complete	c242339_g3_i13:1036-2055	371.3	280
108764at33208a	Missing
109109at33208a	Duplicated	c243571_g1_i2:266-1972	790.4	393
109109at33208a	Duplicated	c243571_g1_i8:266-2848	790.4	393
111730at33208a	Duplicated	c265937_g1_i14:238-2241	584.3	551
111730at33208a	Duplicated	c265937_g1_i15:296-2299	584.3	551
111746at33208a	Fragmented	c225414_g1_i3:215-1387	391.6	293
114954at33208a	Missing
115878at33208a	Fragmented	c243880_g1_i2:616-1715	327.9	194
118209at33208a	Complete	c265603_g5_i3:272-1966	248.2	598
119252at33208a	Duplicated	c247732_g3_i2:81-1769	714.3	489
119252at33208a	Duplicated	c247732_g3_i1:81-1718	685.1	446
119591at33208a	Duplicated	c255879_g1_i3:0-1760	745.9	509
119591at33208a	Duplicated	c255879_g1_i7:0-1760	745.9	509
121127at33208a	Missing
123923at33208a	Fragmented	c229462_g3_i12:2-604	232.0	173
124302at33208a	Duplicated	c267792_g2_i15:466-3729	924.0	831
124302at33208a	Duplicated	c267792_g2_i2:1102-4365	924.0	831
124302at33208a	Duplicated	c267792_g2_i13:88-2541	840.8	663
124302at33208a	Duplicated	c267792_g2_i5:81-1619	803.0	470
127766at33208a	Fragmented	c243304_g1_i1:3-977	377.6	250
129179at33208a	Complete	c257914_g1_i5:716-2629	639.6	482
130245at33208a	Duplicated	c266979_g3_i7:560-2044	605.6	409
130245at33208a	Duplicated	c266979_g3_i8:560-1921	567.9	384
130256at33208a	Fragmented	c250469_g3_i1:0-674	173.9	134
131349at33208a	Complete	c236277_g4_i3:21-1712	644.5	494
131848at33208a	Fragmented	c257801_g1_i8:11-1087	312.3	250
132087at33208a	Duplicated	c267691_g3_i1:1236-2045	453.8	255
132087at33208a	Duplicated	c267691_g3_i3:304-1113	453.8	255
132087at33208a	Duplicated	c267691_g3_i4:1242-2051	453.8	255
132087at33208a	Duplicated	c267691_g3_i5:1242-2095	453.8	255
132087at33208a	Duplicated	c267691_g3_i6:1242-2051	453.8	255
134492at33208a	Complete	c266324_g1_i4:1-1875	902.4	552
135294at33208a	Complete	c231691_g1_i11:78-1142	577.4	297
137383at33208a	Duplicated	c244723_g1_i15:277-2718	888.8	618
137383at33208a	Duplicated	c244723_g1_i17:277-2909	810.7	552
137383at33208a	Duplicated	c244723_g1_i5:277-2328	810.7	552
139188at33208a	Duplicated	c258083_g2_i18:402-2036	512.8	452
139188at33208a	Duplicated	c258083_g2_i6:244-1797	474.2	424
139188at33208a	Duplicated	c258083_g2_i11:154-1590	458.1	394
139188at33208a	Duplicated	c258083_g2_i5:154-1912	456.4	395
143619at33208a	Complete	c251863_g1_i6:0-1481	311.0	266
143997at33208a	Duplicated	c247356_g3_i11:56-859	356.5	252
143997at33208a	Duplicated	c247356_g3_i4:211-1014	356.5	252
143997at33208a	Duplicated	c247356_g3_i1:23-1108	355.1	253
143997at33208a	Duplicated	c247356_g3_i6:623-1702	355.0	253
143997at33208a	Duplicated	c247356_g3_i8:276-1025	345.9	236
146671at33208a	Duplicated	c256762_g2_i7:2-1413	490.1	391
146671at33208a	Duplicated	c256762_g2_i1:2-1435	482.3	391
146671at33208a	Duplicated	c256762_g2_i2:2-1435	482.3	391
146671at33208a	Duplicated	c256762_g2_i3:2-1435	482.3	391
146671at33208a	Duplicated	c256762_g2_i4:2-1435	482.3	391
147873at33208a	Fragmented	c253026_g2_i2:2-1024	525.3	308
148067at33208a	Fragmented	c251210_g4_i8:319-1542	404.6	339
148325at33208a	Complete	c257928_g3_i8:868-2157	317.4	264
152327at33208a	Fragmented	c240108_g2_i1:389-1650	341.4	216
152977at33208a	Duplicated	c267176_g1_i6:614-1669	487.1	297
152977at33208a	Duplicated	c267176_g1_i1:501-1688	484.5	311
152977at33208a	Duplicated	c267176_g1_i3:613-1800	484.5	311
153034at33208a	Complete	c260327_g1_i8:7-1839	575.7	500
157109at33208a	Duplicated	c220771_g1_i2:80-898	272.0	207
157109at33208a	Duplicated	c220771_g1_i3:80-898	272.0	207
157138at33208a	Fragmented	c253142_g1_i4:497-1864	228.6	327
158845at33208a	Fragmented	c260077_g1_i1:46-804	237.3	222
158962at33208a	Missing
162821at33208a	Complete	c255198_g2_i12:58-1386	609.9	369
164767at33208a	Duplicated	c245214_g1_i11:373-2865	844.9	637
164767at33208a	Duplicated	c245214_g1_i8:373-2865	844.9	637
164767at33208a	Duplicated	c245214_g1_i10:158-2296	796.0	575
166097at33208a	Duplicated	c246819_g2_i10:416-1633	582.8	343
166097at33208a	Duplicated	c246819_g2_i3:190-1191	508.7	277
168850at33208a	Complete	c241475_g3_i7:1-1584	719.5	442
168924at33208a	Duplicated	c263173_g5_i4:267-1349	423.0	311
168924at33208a	Duplicated	c263173_g5_i6:11-1081	408.3	303
168924at33208a	Duplicated	c263173_g5_i3:270-1160	398.6	268
169864at33208a	Duplicated	c264440_g1_i14:1-1419	334.5	375
169864at33208a	Duplicated	c264440_g1_i15:35-1432	327.2	368
172677at33208a	Duplicated	c259429_g1_i3:145-1660	201.7	219
172677at33208a	Duplicated	c259429_g1_i4:225-1613	188.9	241
176247at33208a	Complete	c259211_g1_i7:132-1166	226.7	200
177718at33208a	Fragmented	c233464_g1_i5:4-678	249.5	140
177858at33208a	Missing
178537at33208a	Missing
179485at33208a	Fragmented	c224405_g2_i6:70-627	319.8	170
180808at33208a	Duplicated	c255639_g1_i4:472-2244	613.1	348
180808at33208a	Duplicated	c255639_g1_i3:1087-2331	612.7	348
180808at33208a	Duplicated	c255639_g1_i7:583-1827	612.7	348
182834at33208a	Fragmented	c250604_g1_i12:206-1279	465.6	310
184508at33208a	Duplicated	c258663_g2_i1:177-2624	465.3	341
184508at33208a	Duplicated	c258663_g2_i13:479-2995	461.9	355
184717at33208a	Duplicated	c247379_g2_i13:267-1823	790.9	433
184717at33208a	Duplicated	c247379_g2_i17:267-1926	790.2	433
186208at33208a	Fragmented	c264652_g1_i4:2-952	370.0	247
186707at33208a	Fragmented	c230520_g2_i5:235-1116	233.7	223
187280at33208a	Complete	c236995_g1_i3:209-1780	549.3	399
189414at33208a	Missing
190726at33208a	Fragmented	c243868_g1_i5:1-867	249.9	177
191938at33208a	Fragmented	c235861_g5_i1:314-838	170.7	130
192250at33208a	Duplicated	c260761_g2_i14:60-1503	443.1	296
192250at33208a	Duplicated	c260761_g2_i3:60-1232	443.1	296
192250at33208a	Duplicated	c260761_g2_i5:60-1232	443.1	296
192250at33208a	Duplicated	c260761_g2_i8:60-1503	443.1	296
194754at33208a	Duplicated	c265615_g3_i1:244-3060	1043.8	773
194754at33208a	Duplicated	c265615_g3_i7:37-2853	1043.8	773
194754at33208a	Duplicated	c265615_g3_i8:253-3069	1043.8	773
194754at33208a	Duplicated	c265615_g3_i6:76-2676	965.5	712
194754at33208a	Duplicated	c265615_g3_i9:244-3008	953.9	725
195986at33208a	Complete	c221495_g2_i7:107-1372	702.4	373
196950at33208a	Fragmented	c268028_g3_i1:397-1683	419.9	356
197549at33208a	Duplicated	c253346_g1_i7:0-1600	176.5	302
197549at33208a	Duplicated	c253346_g1_i5:0-1615	167.9	299
197652at33208a	Missing
200997at33208a	Duplicated	c248481_g1_i13:203-2056	645.4	505
200997at33208a	Duplicated	c248481_g1_i5:6-1850	640.0	503
201397at33208a	Complete	c224168_g3_i5:2-1309	568.9	354
202545at33208a	Complete	c264495_g1_i5:2-1274	436.4	327
203128at33208a	Duplicated	c262685_g2_i6:1183-2691	863.0	438
203128at33208a	Duplicated	c262685_g2_i9:1183-2556	819.7	409
203128at33208a	Duplicated	c262685_g2_i4:1183-2529	818.6	408
203698at33208a	Missing
205220at33208a	Fragmented	c256796_g1_i1:155-646	244.3	156
206786at33208a	Duplicated	c265299_g4_i9:432-1619	362.4	296
206786at33208a	Duplicated	c265299_g4_i6:186-1259	356.9	279
206858at33208a	Complete	c259197_g3_i3:0-1379	491.1	351
207599at33208a	Duplicated	c265906_g1_i8:25-1665	474.3	370
207599at33208a	Duplicated	c265906_g1_i2:1904-3955	473.2	370
208219at33208a	Duplicated	c265428_g1_i6:2-1344	429.6	338
208219at33208a	Duplicated	c265428_g1_i4:24-1144	365.3	295
210614at33208a	Complete	c263514_g3_i3:846-3404	166.4	590
212972at33208a	Fragmented	c268296_g1_i1:448-1026	255.6	180
214788at33208a	Missing
215654at33208a	Complete	c249295_g5_i4:141-1712	258.0	374
216257at33208a	Duplicated	c237673_g1_i7:150-1406	352.8	333
216257at33208a	Duplicated	c237673_g1_i3:150-1394	351.3	332
216257at33208a	Duplicated	c237673_g1_i15:150-2534	350.3	333
216563at33208a	Complete	c266995_g1_i1:201-1469	79.9	233
218441at33208a	Duplicated	c266123_g5_i7:31-1182	169.5	177
218441at33208a	Duplicated	c266123_g5_i9:31-1158	168.7	174
218441at33208a	Duplicated	c266123_g5_i6:31-1092	146.7	159
219795at33208a	Fragmented	c263862_g4_i8:117-1151	226.0	246
219856at33208a	Complete	c239182_g6_i3:22-1185	344.5	348
222489at33208a	Duplicated	c258554_g3_i2:890-2062	669.1	340
222489at33208a	Duplicated	c258554_g3_i7:466-1638	669.1	340
223234at33208a	Fragmented	c253189_g1_i2:98-976	158.4	181
224280at33208a	Missing
226335at33208a	Fragmented	c254687_g1_i12:57-821	310.9	208
226941at33208a	Fragmented	c268259_g2_i1:3090-3512	125.8	94
227087at33208a	Complete	c249719_g1_i10:138-2840	303.6	531
227453at33208a	Duplicated	c250852_g2_i6:285-2024	526.1	423
227453at33208a	Duplicated	c250852_g2_i8:306-2045	526.1	423
227453at33208a	Duplicated	c250852_g2_i3:306-1937	480.6	399
227979at33208a	Complete	c238271_g1_i3:80-2068	294.6	449
231157at33208a	Complete	c251583_g2_i9:27-1646	585.6	431
231700at33208a	Missing
234290at33208a	Duplicated	c259384_g1_i1:591-1895	250.9	539
234290at33208a	Duplicated	c259384_g1_i2:1676-2980	250.9	539
235149at33208a	Duplicated	c257424_g1_i10:0-1808	425.1	463
235149at33208a	Duplicated	c257424_g1_i3:215-2002	398.2	428
235149at33208a	Duplicated	c257424_g1_i9:28-1761	397.7	428
235430at33208a	Fragmented	c254052_g1_i3:0-671	244.7	193
235458at33208a	Complete	c244188_g3_i1:89-1360	283.1	250
239016at33208a	Fragmented	c214603_g1_i4:447-1172	101.1	146
239149at33208a	Missing
239597at33208a	Fragmented	c232203_g1_i4:353-1174	354.8	253
240437at33208a	Duplicated	c236261_g1_i10:648-1571	436.8	247
240437at33208a	Duplicated	c236261_g1_i5:648-1511	436.2	241
240437at33208a	Duplicated	c236261_g1_i18:346-996	407.9	201
244863at33208a	Fragmented	c265680_g2_i1:326-1231	295.5	248
245482at33208a	Fragmented	c240473_g2_i1:1-453	198.1	124
245567at33208a	Fragmented	c263386_g2_i6:185-1321	265.1	293
246241at33208a	Duplicated	c255334_g1_i2:186-1310	481.0	310
246241at33208a	Duplicated	c255334_g1_i4:16-1140	481.0	310
247183at33208a	Fragmented	c239984_g1_i4:131-1210	417.0	315
247905at33208a	Complete	c258280_g1_i6:197-1765	290.1	311
249486at33208a	Duplicated	c233985_g1_i3:153-1721	184.0	315
249486at33208a	Duplicated	c233985_g1_i4:13-1512	172.6	296
251076at33208a	Complete	c237058_g5_i1:210-1322	546.7	315
251577at33208a	Duplicated	c255375_g1_i6:87-1231	287.7	238
251577at33208a	Duplicated	c255375_g1_i4:87-1250	286.9	235
251577at33208a	Duplicated	c255375_g1_i1:23-1129	286.8	234
251577at33208a	Duplicated	c255375_g1_i5:65-1228	286.3	234
255117at33208a	Complete	c257834_g2_i19:196-2820	1160.3	728
255242at33208a	Duplicated	c257787_g1_i1:98-1405	362.9	257
255242at33208a	Duplicated	c257787_g1_i12:98-1171	323.1	220
255924at33208a	Complete	c267640_g1_i1:23-2176	710.0	515
257141at33208a	Duplicated	c264748_g1_i3:1116-2654	371.6	298
257141at33208a	Duplicated	c264748_g1_i1:130-1536	368.8	289
257339at33208a	Missing
259581at33208a	Duplicated	c265907_g1_i7:2-1771	171.0	245
259581at33208a	Duplicated	c265907_g1_i2:430-2181	156.3	239
260752at33208a	Fragmented	c227949_g1_i9:512-1645	237.0	244
261284at33208a	Fragmented	c237202_g1_i9:21-323	122.4	86
261614at33208a	Missing
262757at33208a	Missing
266460at33208a	Duplicated	c262288_g1_i4:397-2094	597.8	459
266460at33208a	Duplicated	c262288_g1_i8:397-2094	597.8	459
266469at33208a	Duplicated	c234281_g1_i2:99-1046	159.1	188
266469at33208a	Duplicated	c234281_g1_i3:330-1487	158.5	189
266808at33208a	Complete	c241653_g1_i12:297-1529	498.0	322
267439at33208a	Duplicated	c248170_g2_i8:180-1670	709.0	415
267439at33208a	Duplicated	c248170_g2_i4:180-1895	708.0	415
267439at33208a	Duplicated	c248170_g2_i1:229-1881	645.5	386
268134at33208a	Fragmented	c254576_g4_i12:180-698	153.1	132
268397at33208a	Fragmented	c249432_g2_i14:2-1093	459.3	306
270594at33208a	Duplicated	c263748_g1_i7:1667-3139	419.2	368
270594at33208a	Duplicated	c263748_g1_i5:1667-3115	401.4	359
271297at33208a	Duplicated	c248077_g3_i2:95-1096	333.8	232
271297at33208a	Duplicated	c248077_g3_i5:95-1294	333.4	232
271297at33208a	Duplicated	c248077_g3_i4:82-1278	333.4	232
271297at33208a	Duplicated	c248077_g3_i3:95-1291	333.4	232
271742at33208a	Complete	c265264_g1_i6:69-1754	581.0	397
272605at33208a	Fragmented	c247052_g4_i6:63-1106	365.7	260
273040at33208a	Duplicated	c251576_g1_i3:48-557	188.4	120
273040at33208a	Duplicated	c251576_g1_i13:144-746	188.4	135
273040at33208a	Duplicated	c251576_g1_i2:7-573	187.8	120
273040at33208a	Duplicated	c251576_g1_i12:144-875	187.6	134
273040at33208a	Duplicated	c251576_g1_i6:141-1094	186.6	133
273367at33208a	Complete	c234332_g4_i1:458-1536	95.0	147
273989at33208a	Fragmented	c248309_g4_i4:280-1464	384.6	339
274044at33208a	Duplicated	c249414_g3_i3:16-1236	414.0	352
274044at33208a	Duplicated	c249414_g3_i1:16-1099	380.4	255
274044at33208a	Duplicated	c249414_g3_i11:16-846	378.9	255
274064at33208a	Duplicated	c249120_g1_i1:85-1236	456.7	277
274064at33208a	Duplicated	c249120_g1_i4:158-1309	456.7	277
274064at33208a	Duplicated	c249120_g1_i6:557-1708	456.7	277
274769at33208a	Complete	c263306_g3_i7:554-2017	566.6	384
274992at33208a	Duplicated	c255555_g4_i4:3-1064	203.6	295
274992at33208a	Duplicated	c255555_g4_i2:3-1037	193.9	285
277935at33208a	Fragmented	c267962_g1_i3:546-1436	295.4	241
278227at33208a	Missing
279631at33208a	Missing
279992at33208a	Fragmented	c221978_g2_i8:57-530	62.5	113
280914at33208a	Duplicated	c257536_g2_i4:321-2387	428.9	514
280914at33208a	Duplicated	c257536_g2_i5:321-2252	401.3	491
281304at33208a	Duplicated	c240547_g1_i7:90-1679	311.9	326
281304at33208a	Duplicated	c240547_g1_i6:172-1647	310.3	319
281693at33208a	Complete	c263481_g2_i5:100-2578	716.5	499
283637at33208a	Fragmented	c248736_g2_i2:2-841	482.3	243
284059at33208a	Duplicated	c264947_g1_i2:355-1395	263.0	212
284059at33208a	Duplicated	c264947_g1_i7:110-1150	263.0	212
284059at33208a	Duplicated	c264947_g1_i1:35-1057	256.4	209
285146at33208a	Duplicated	c223266_g1_i2:137-1297	467.4	344
285146at33208a	Duplicated	c223266_g1_i3:138-1037	405.0	260
285902at33208a	Complete	c242281_g3_i10:2-1366	346.4	340
285966at33208a	Complete	c245416_g2_i4:293-1345	312.5	256
286553at33208a	Duplicated	c238711_g1_i2:182-1342	122.3	235
286553at33208a	Duplicated	c238711_g1_i1:182-1327	117.6	231
289235at33208a	Complete	c218477_g1_i1:233-1315	239.4	240
289928at33208a	Duplicated	c264895_g2_i2:402-1229	227.5	203
289928at33208a	Duplicated	c264895_g2_i3:230-1057	227.5	203
289928at33208a	Duplicated	c264895_g2_i6:392-1033	200.7	154
291505at33208a	Duplicated	c243202_g4_i5:325-1683	246.8	236
291505at33208a	Duplicated	c243202_g4_i1:83-1588	246.2	236
291505at33208a	Duplicated	c243202_g4_i3:389-2056	246.1	275
291505at33208a	Duplicated	c243202_g4_i4:973-2640	246.1	275
291505at33208a	Duplicated	c243202_g4_i6:820-2487	246.1	275
291875at33208a	Fragmented	c266573_g2_i6:1-516	283.4	167
295556at33208a	Missing
295775at33208a	Fragmented	c258526_g2_i6:487-1176	151.9	165
300303at33208a	Fragmented	c246267_g1_i12:3-572	239.4	145
301572at33208a	Duplicated	c264894_g1_i1:947-2398	579.6	388
301572at33208a	Duplicated	c264894_g1_i3:1259-2710	579.6	388
301572at33208a	Duplicated	c264894_g1_i6:1249-2631	563.3	401
302186at33208a	Fragmented	c219172_g1_i4:223-1026	17.6	70
302279at33208a	Complete	c241600_g2_i3:63-1106	399.7	300
302921at33208a	Fragmented	c260120_g2_i6:38-1015	51.6	84
303117at33208a	Missing
304388at33208a	Missing
305260at33208a	Fragmented	c264604_g1_i7:1144-1596	206.6	137
306101at33208a	Missing
307109at33208a	Complete	c259277_g6_i1:2-877	367.1	241
308610at33208a	Fragmented	c228212_g1_i3:0-839	347.3	215
311438at33208a	Duplicated	c220215_g1_i3:59-1177	361.0	254
311438at33208a	Duplicated	c220215_g1_i5:59-865	338.7	210
311758at33208a	Fragmented	c241169_g1_i3:315-1388	382.7	252
311761at33208a	Complete	c252684_g1_i2:12-1893	457.7	470
312577at33208a	Fragmented	c267771_g3_i4:498-1022	170.8	135
313091at33208a	Fragmented	c260302_g1_i3:607-1560	188.5	150
315044at33208a	Complete	c259956_g2_i12:550-1884	561.8	363
315393at33208a	Duplicated	c235285_g4_i15:0-761	339.4	206
315393at33208a	Duplicated	c235285_g4_i6:0-896	338.8	206
315393at33208a	Duplicated	c235285_g4_i7:201-1076	320.4	199
317470at33208a	Duplicated	c253988_g2_i8:881-1945	263.8	223
317470at33208a	Duplicated	c253988_g2_i2:182-841	251.3	194
318483at33208a	Duplicated	c265821_g2_i1:154-1428	469.0	327
318483at33208a	Duplicated	c265821_g2_i3:339-1613	469.0	327
318532at33208a	Missing
319574at33208a	Duplicated	c250951_g4_i3:1-1140	326.5	238
319574at33208a	Duplicated	c250951_g4_i1:26-1081	289.3	214
320390at33208a	Complete	c267943_g3_i6:331-2064	468.1	457
321332at33208a	Fragmented	c265791_g1_i1:164-598	148.9	130
323399at33208a	Missing
