# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208a	Complete	sc0000028	118082	141627	-	4102.0	1993
9639at33208a	Complete	sc0000257	136430	185893	-	2367.0	1792
13816at33208a	Complete	sc0000032	837782	867685	+	1440.2	1267
14776at33208a	Duplicated	sc0000601	12641	41953	+	2180.4	1364
14776at33208a	Duplicated	sc0000274	668	48317	-	1947.3	1444
16244at33208a	Complete	sc0000178	727549	766720	-	1955.2	1371
40200at33208a	Complete	sc0000235	242993	259277	+	727.3	575
45934at33208a	Complete	sc0000016	28210	45431	-	894.3	936
49474at33208a	Complete	sc0000085	178044	211469	-	1595.5	1181
50756at33208a	Complete	sc0000645	87735	124339	+	659.3	622
56573at33208a	Complete	sc0000124	726296	750705	-	1226.2	920
57158at33208a	Complete	sc0000095	470299	505982	-	1826.3	1056
63697at33208a	Complete	sc0000340	124474	148017	-	1814.4	996
64435at33208a	Complete	sc0000124	178799	210016	+	314.6	406
65302at33208a	Complete	sc0000023	430898	453519	+	1161.6	894
66018at33208a	Complete	sc0000551	193914	236958	+	1473.3	866
75406at33208a	Complete	sc0000038	1022004	1040132	-	542.4	486
76852at33208a	Complete	sc0000087	941874	961257	+	676.0	826
84980at33208a	Complete	sc0000134	682005	703998	-	669.8	515
88053at33208a	Complete	sc0000294	32875	56794	-	499.1	594
92367at33208a	Complete	sc0000125	591636	612964	-	374.9	509
99614at33208a	Complete	sc0000147	182709	210275	+	1041.8	750
99987at33208a	Complete	sc0000303	411809	432891	+	520.8	546
102804at33208a	Complete	sc0000087	801823	836189	+	1179.1	818
103854at33208a	Complete	sc0000155	293014	322777	-	613.6	601
107151at33208a	Complete	sc0000286	139463	161851	+	526.8	381
107574at33208a	Complete	sc0000772	92941	124965	+	430.4	581
108764at33208a	Complete	sc0000040	307294	324876	-	400.3	448
109109at33208a	Complete	sc0000332	61368	78474	-	786.4	563
111730at33208a	Complete	sc0000688	1256	11261	-	585.8	359
111746at33208a	Missing
114954at33208a	Missing
115878at33208a	Complete	sc0000048	1267567	1285543	+	413.3	326
